,Title,Question,Answer
0,중고딩건강검진,중고등학교 건강검진 담배 검사 하나요 ?급해요....(내공150),안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다.안합니다
1,생리 중 빈혈,제가 생리를 시작햇는데 아침에 간단히 콘푸라이트만 먹고 집에서운동을 오랜만에 햇거든요. 근데 좀 빡세게 운동을 햇어요 땀도 좀 많이 낫구요..그리고 샤워를 하는데 바디워시를 바르려던 참에 갑자기 눈앞이 뿌얘지고 서있지를 못하겟는거에요.. 앉아도 막 어지러워서 눈이 감기고 머리도 아프고 배도 너무 아팟어요.. 그렇게 그 상태로 변기에 몇십분을 눈감고 앉아있었어요. 이대로는 진짜 큰일날거같아서 겨우 정신차리고 대충 몸씻고 머리도 대충말리고 몇시간 잣더니 지금은 좀 괜찮네요.. 이거 빈혈증세 맞나요???,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다.빈혈은 피검사로만  진단 될수 있습니다 미주신경자극으로 인한 저혈압 증상이라고 생각합니다
2,코로나 아니겠죠?,이틀전부터 살짝 몸 컨디션이 안좋았는데제가 헬스를 빠지지 않고 다니다 보니 컨디션이 안좋아도 고강도 운동을 진행했습니다.증상은 운동 후 열이 나는 것처럼 몸이 뜨겁다가 나른해지고 약간의 어지럼증이 있습니다. 인후통이나 기침은 전혀없습니다.보통 운동 후 잠깐 나른해졌다가 괜찮아지는데 하루가 지나도 약간의 미열이 유지되고 몸에 힘이 없는거 같습니다.확진자 동선은 겹치는 부분은 아예 없지만 걱정이되네요.추가적으로 집에서 에어컨을 오래틀고 있고 밖에 있다가 들어오면 바로 에어컨을 켜서 온도차가 편이긴 합니다.,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다.코로나는 아닌듯 합니다코로나는 증상만으로 알수가 없습니다 요즘 무증상환자도 늘고있어 걱정입니다  의심되면 검사를 받아보시는것이 좋겠습니다​
3,지방분해주사 vs 지방흡입 고민중인데요....,다이어트중인데요 옆구리살이 딱딱해서 잘 안빠져서 시술로 빼볼건데지방분해주사하고 지방흡입하고 뭐가 더 나을까요? 각 장단점이 뭘까요?,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 김진서 입니다.​지방분해주사나 지방흡입을 통해 옆구리살 제거 하시려고 하는데 관련내용으로 답변드리도록 하겠습니다.지방분해주사 그리고 지방흡입 모두 신체에 불필요한 지방을 제거해주는 방법입니다.하지만, 개인마다 체형과 지방양, 상태가 다르기 때문에 어떤 방법이 효과적이라고 말씀드리기는 어렵습니다.또한, 현재 질문주신분의 옆구리살 상태를 정확하게 파악하지 못한상태기 때문에 우선적으로 상담을 통한 체형파악을 하는것이 중요 합니다.​지방분해주사의 경우 지방을 분해하는 성분을 지방층에 주입하여 지방을 녹이는 시술로 수술에 비해 간단하면서도 만족도가 높은 시술 입니다. 하지만 병원마다의 성분이 모두 다르며, 스테로이드성분이 포함되어 있는경우 생리불순등 부작용이 발생할수 있는데 이를 피하기 위해서 성분확인을 하는것이 좋습니다.​지방흡입의 경우 특정부위의 지방을 직접 제거하기 때문에 단 기간에 효과를 볼수는 있지만압박복착용및 별도의 회복기간이 필요하며 유착, 패임등의 부작용이 생길수 있습니다.​내가 어떤 방법으로 진행을 할지 선택하기 보다는 개인 체형과 상태에 따라 맞는 방법이 다르기 때문에정확한 판단을 위해서는 직접 상담을 통해 진행을 하는것이 좋습니다.특히 의료진의 경력이 오래된 곳이라면 부작용에 대한 부담을 최대한 줄이면서 만족도 높은 결과를 얻을수 있으니이점 참고하시고 진행하시길 바랍니다.​답변이 도움이 되셨길 바랍니다.감사합니다."
4,눈수술한지 4일차거든요...아직도 붓기가 심한데 붓기 언제다 빠질까요?,NA,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 김진서 입니다.​문의 내용에 대한 답변 드리도록 하겠습니다.현재 수술후 4일정도 되셨다고 했는데, 그 시기가 붓기가 가장 심할때라고 할수 있습니다.​수술후 1주일정도면 어느정도 붓기가 빠지며, 생각보다 붓기가 너무 심하다고 하면병원에 내원하셔서 확인해보시는것을 권해드립니다.​감사합니다."
5,턱보톡스했는데 티가 안나는거 같은데효과가 있는지 볼라면 어떻게 해봐야 하나요?,NA,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 김진서 입니다.​문의 내용에 대한 답변 드리도록 하겠습니다.이를 물었을때 시술부위의 근육이 만져보고 사라졌거나 줄어들었다면효과가 있다고 볼수 있습니다. 만져보기에 시술전과 동일하다고 느껴진다면병원에 내원하셔서 상담을 받아보시는것을 권해드립니다.​감사합니다.
6,아랫배가 너무 아파요,엄마가 생리중인데 며칠 전부터 배가 아프다고 그러세요. 몸살 나듯이 온몸이 아프다고 그러시고 아랫배가 아기 낳는듯한 아픔이라고 그러고속도 안좋아서 헛구역질 하시고 허리도 많이 아프시다고 그러는데 왜 그렇게 아픈가 궁금해요,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다.생리통이 많이 심하면 그럴수 있는데 이런경우는 진료 받고  필요하면 주사한번 맞으시는것이 좋아요
7,코로나 검사하러가는데,코로나 검사를 하러가는데요.. 확진이 되면 밖에 못나가잖아요 만약 1월1일에 병실입원하고 생리 예정일이 1월5일이면 병원에서 생리대 주나요?,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다.혹시 모르니 챙겨 가시는것이 좋겠습니다
8,코로나확진자 나온 식당..검사받아야하나요?,지금 재난문자로 15일에 방문하신 손님 중 확진자가 나왔다는 문자가 왔습니다. 그 식당에 저는 17일에 다녀왔구요..지금까지 증상은 없지만 항상 마스크를 쓰고다녔고 손도 잘 씻었습니다. 검사 받아야하나요? 비용은 어느정도 나오나요?,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다.검사는 받지 않으셔도 괜찮을것으로 생각합니다   병원마다 조금 다르다는 이야기도 있는데  16만원정도 한다고 합니다
9,코로나 무증상,무증상도 14일 후에는 증상이 나타나나요??,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다.잠복기가 끝나고 나타나기도하고 나타나지 않기도 합니다
10,새끼발톱깨짐,저기 갑자기 새끼발톱이 깨져서 피가고여잇는데 이거어떻게해야하나요?,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다.왜 그랬을까요? 상처소독하고 밴드 붙여주시고 외상이 강했으면 사진을 찍어봐야 합니다
11,냉방병 인가요?,제가 저번주 일요일에 월미도 가서 이것저것 했는데 차에는 꽤있었는데요 (에어컨도 틀어놨습니다)장마 끝나서 더운날에 놀이기구를 4~5번정도 타서 땀이 났다 안났다를 반복했습니다.그날 오전1시쯤 집가서 바로자고 다음날부터 (월요일) 설사를 하고 두통은 없었고 약간 어지럽고 식욕이 별로없었고요 3일이 지난 오늘 신검을 받으러가서 열이 37이나오긴 하는데 기준치를 넘지는 않았습니다.현재 설사는 안하고 복통만 조금 있고 두통 어지러움은 없습니다.냉방병 인가요 아님 다른 병인가요??,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다.설사를 하시니 장염증상에 가깝다고 생각합니다
