,Title,Category,Question,Answer
0,귀에 벌레가 들어 간거 같을때,이비인후과,제가 산책하다가 귀 옆에서 윙윙 대길래 탁 댔는데 윙윙 거리는 소리도 멈추고 귀가 살짝 아파서 귀를 만졌어요 근데 귀는 조금 아픈게 벌레가 윙윙 거리는 소리는 안나요. 귀에 벌레가 들어 간걸까요?,"​Loading...player_likesound_mutesound_mutesound_volume2sound_volume3[x]Player Size:0 x 0Current Resolution:0PMax Abr Resolution:0PProtocol:pdCurrent Bandwidth:Average Bandwidth:Buffer Health:Frame Drop Rate:0/0도움말라이센스Video StatisticVersion 4.19.10 (PD)Build Date (2020/6/3)NAVER Corp.동영상 인코딩 중입니다.5분 이상 소요될 수 있으며, 영상의 길이에 따라 소요 시간은 달라집니다.topleftrightbottom마우스를 드래그 하세요360° Video도움말MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다.선거광고 안내음소거00:00|00:00화질 선택 옵션화질전체화면광고정보 더보기초 후SKIP초 후 재생SKIP광고 후 계속됩니다.SNS 공유소스 코드BandTwitterFacebookBlogCafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다.도움말플레이어 URL복사레이어 닫기반갑습니다. 하이닥-네이버 지식iN 상담의사-이비인후과 전문의 최혁기-닥터초이 입니다.영상답변드립니다.감사합니다.  관련해서 더 궁금한 내용은  제 유튜브 채널 '여러분의 닥터초이'를  참고해주시면 좋겠습니다."
1,조금 매운 음식 먹다가 심하게 사례가,이비인후과,"피어싱 뚫은지 반년이 지났는데 갑자기 귓볼이 부어올랐어요제가 귓볼 만지는 습관이 있어서 자극을 줬던것 같은데약국에서 키모랄에스정 소염제를 먹고 있는데 나아지는 기미가 잘 안보여요,,, 지금 먹은지는 오늘부로 3일째구요 피어싱을 막고 싶지는 않아서 피어싱 바를 교체하거나 (좀더 길게 여유공간이 있도록) 베아로반 같은 약을 사서 바르려고 하는데 나아질까요,,,,??증상 사진은 다 같은날 찍은 사진입니다","​Loading...player_likesound_mutesound_mutesound_volume2sound_volume3[x]Player Size:0 x 0Current Resolution:0PMax Abr Resolution:0PProtocol:pdCurrent Bandwidth:Average Bandwidth:Buffer Health:Frame Drop Rate:0/0도움말라이센스Video StatisticVersion 4.19.10 (PD)Build Date (2020/6/3)NAVER Corp.동영상 인코딩 중입니다.5분 이상 소요될 수 있으며, 영상의 길이에 따라 소요 시간은 달라집니다.topleftrightbottom마우스를 드래그 하세요360° Video도움말MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다.선거광고 안내음소거00:00|00:00화질 선택 옵션화질전체화면광고정보 더보기초 후SKIP초 후 재생SKIP광고 후 계속됩니다.SNS 공유소스 코드BandTwitterFacebookBlogCafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다.도움말플레이어 URL복사레이어 닫기반갑습니다. 하이닥-네이버 지식iN 상담의사-이비인후과 전문의 최혁기-닥터초이 입니다.영상답변드립니다.감사합니다.  관련해서 더 궁금한 내용은  제 유튜브 채널 '여러분의 닥터초이'를  참고해주시면 좋겠습니다."
2,귀 뚫을때 아픈가요??,이비인후과,태풍 바비 경로 제8호 태풍 '바비'가 오는 26일 오후 또는 밤사이 우리나라에 상륙해서 강원 북부 동해안까지 올라올 전망입니다. 22일 오후 4시 기준 바비 중...,"​Loading...player_likesound_mutesound_mutesound_volume2sound_volume3[x]Player Size:0 x 0Current Resolution:0PMax Abr Resolution:0PProtocol:pdCurrent Bandwidth:Average Bandwidth:Buffer Health:Frame Drop Rate:0/0도움말라이센스Video StatisticVersion 4.19.10 (PD)Build Date (2020/6/3)NAVER Corp.동영상 인코딩 중입니다.5분 이상 소요될 수 있으며, 영상의 길이에 따라 소요 시간은 달라집니다.topleftrightbottom마우스를 드래그 하세요360° Video도움말MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다.선거광고 안내음소거00:00|00:00화질 선택 옵션화질전체화면광고정보 더보기초 후SKIP초 후 재생SKIP광고 후 계속됩니다.SNS 공유소스 코드BandTwitterFacebookBlogCafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다.도움말플레이어 URL복사레이어 닫기반갑습니다. 하이닥-네이버 지식iN 상담의사-이비인후과 전문의 최혁기-닥터초이 입니다.영상답변드립니다.감사합니다.  관련해서 더 궁금한 내용은  제 유튜브 채널 '여러분의 닥터초이'를  참고해주시면 좋겠습니다."
3,목에 가래낀 느낌,이비인후과,동네 주변에 피어싱 가게가 있는데 보통 피어싱 가게에선 귀 어떻게 뚫어주나요? 귓볼 뚫을겁니다.어느정도로 아플까요?,​반갑습니다. 하이닥-네이버 지식iN 상담의사-이비인후과 전문의 최혁기-닥터초이 입니다.영상답변드립니다.감사합니다.  관련해서 더 궁금한 내용은  제 유튜브 채널 '여러분의 닥터초이'를  참고해주시면 좋겠습니다.
4,감염성 후두염인지 검사를 받고 싶은 데 어떻게 하면 될까요?,이비인후과,몇주째 목에 가래낀느낌인데너무 스트레스 받네요편도선염인지 후두염인지 후비르?!인지 뭔가요 ㅠㅠ,"​Loading...player_likesound_mutesound_mutesound_volume2sound_volume3[x]Player Size:0 x 0Current Resolution:0PMax Abr Resolution:0PProtocol:pdCurrent Bandwidth:Average Bandwidth:Buffer Health:Frame Drop Rate:0/0도움말라이센스Video StatisticVersion 4.19.10 (PD)Build Date (2020/6/3)NAVER Corp.동영상 인코딩 중입니다.5분 이상 소요될 수 있으며, 영상의 길이에 따라 소요 시간은 달라집니다.topleftrightbottom마우스를 드래그 하세요360° Video도움말MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다.선거광고 안내음소거00:00|00:00화질 선택 옵션화질전체화면광고정보 더보기초 후SKIP초 후 재생SKIP광고 후 계속됩니다.SNS 공유소스 코드BandTwitterFacebookBlogCafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다.도움말플레이어 URL복사레이어 닫기반갑습니다. 하이닥-네이버 지식iN 상담의사-이비인후과 전문의 최혁기-닥터초이 입니다.영상답변드립니다.감사합니다.  관련해서 더 궁금한 내용은  제 유튜브 채널 '여러분의 닥터초이'를  참고해주시면 좋겠습니다."
5,귀 먹먹함 질문...,이비인후과,후두염을 1년 넘게 앓고 있어서 역류성 식도염 약을 3개월 넘게 복용하고 있지만 별 차도가 없어 감염성 후두염 검사를 받고 싶습니다.(내과에서 위내시경을 받아봤지만 딱히 역류의 흔적이 있거나 하진 않다고 하셨습니다.) 대학병원 선별 진료소에서 감염성 후두염 검사를 받을 수 있을까요? 받을 수 있다면 감염성 후두염 검사 받으러 왔다고 말씀드리면 될까요? 현재 내과의원을 다니고 있어 대학병원 이비인후과를 가보려고 해도 선별 진료소를 무조건 거쳐야한다기에 선별 진료소에서 감염성 후두염 검사만을 받을 수 있는 지 궁금합니다.,"​Loading...player_likesound_mutesound_mutesound_volume2sound_volume3[x]Player Size:0 x 0Current Resolution:0PMax Abr Resolution:0PProtocol:pdCurrent Bandwidth:Average Bandwidth:Buffer Health:Frame Drop Rate:0/0도움말라이센스Video StatisticVersion 4.19.10 (PD)Build Date (2020/6/3)NAVER Corp.동영상 인코딩 중입니다.5분 이상 소요될 수 있으며, 영상의 길이에 따라 소요 시간은 달라집니다.topleftrightbottom마우스를 드래그 하세요360° Video도움말MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다.선거광고 안내음소거00:00|00:00화질 선택 옵션화질전체화면광고정보 더보기초 후SKIP초 후 재생SKIP광고 후 계속됩니다.SNS 공유소스 코드BandTwitterFacebookBlogCafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다.도움말플레이어 URL복사레이어 닫기반갑습니다. 하이닥-네이버 지식iN 상담의사-이비인후과 전문의 최혁기-닥터초이 입니다.영상답변드립니다.감사합니다.  관련해서 더 궁금한 내용은  제 유튜브 채널 '여러분의 닥터초이'를  참고해주시면 좋겠습니다."
6,8세남아 귀에 머리카락한가닥이 들어가,이비인후과,어제 부터 오른쪽귀가 먹먹합니다!오늘 이비인후과다녀왔는데청력은 정상이었구요.. 물이차거나 염증도 아니래요.귀에 물이찬것같은 먹먹함은 아니구요..좀 표현하기 애매한 먹먹함입니다.오른쪽귀에 제 숨소리나 목소리가 크게 들리는것같구요야외생활할때는 못느끼는데 집에 오면 느낄정도입니다.이거 원인이 뭘까요.. 나아질수는 있는지..병원에서는 이관?에 문제인것같다고알러지약 위염약 코감기약을 주시는데..코는 안막히거든요..어제 큰소리에 노출되거나 이어폰 이런거 낀적도 없었고일자목 치료차 도수치료 및 두피경락마사지 받은것 밖에 없었습니다.,"​Loading...player_likesound_mutesound_mutesound_volume2sound_volume3[x]Player Size:0 x 0Current Resolution:0PMax Abr Resolution:0PProtocol:pdCurrent Bandwidth:Average Bandwidth:Buffer Health:Frame Drop Rate:0/0도움말라이센스Video StatisticVersion 4.19.10 (PD)Build Date (2020/6/3)NAVER Corp.동영상 인코딩 중입니다.5분 이상 소요될 수 있으며, 영상의 길이에 따라 소요 시간은 달라집니다.topleftrightbottom마우스를 드래그 하세요360° Video도움말MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다.선거광고 안내음소거00:00|00:00화질 선택 옵션화질전체화면광고정보 더보기초 후SKIP초 후 재생SKIP광고 후 계속됩니다.SNS 공유소스 코드BandTwitterFacebookBlogCafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다.도움말플레이어 URL복사레이어 닫기반갑습니다. 하이닥-네이버 지식iN 상담의사-이비인후과 전문의 최혁기-닥터초이 입니다.영상답변드립니다.감사합니다.  관련해서 더 궁금한 내용은  제 유튜브 채널 '여러분의 닥터초이'를  참고해주시면 좋겠습니다."
7,코감기가 자주 걸려요,이비인후과,태풍 바비 경로 제8호 태풍 '바비'가 오는 26일 오후 또는 밤사이 우리나라에 상륙해서 강원 북부 동해안까지 올라올 전망입니다. 22일 오후 4시 기준 바비 중...,​반갑습니다. 하이닥-네이버 지식iN 상담의사-이비인후과 전문의 최혁기-닥터초이 입니다.영상답변드립니다.감사합니다.  관련해서 더 궁금한 내용은  제 유튜브 채널 '여러분의 닥터초이'를  참고해주시면 좋겠습니다.
8,귀가 아파요,이비인후과,코감기가 생겼다가 나았다가를 반복해요고감기 걸렸을때 병원가기 귀찮아서대충 약국에 약만 사서 심할때만 먹고괜찮아졌다가 몇주 뒤 다시 코감기 걸리고...목도 안 아프고머리도 딱히 안 아프고열도 안 나는데콧물이 오지게 나오고 코가 가끔씩 막혀요정말 화가납니다....제대로 치료를 안 해서 그런가요??약 아예 안먹고 괜찮아질때도 있어요..콧물색은 투명해요 물풀 같습니다.그냥 제가 아이스크림을 많이 먹거나추워서 걸리는건가요..?????,​반갑습니다. 하이닥-네이버 지식iN 상담의사-이비인후과 전문의 최혁기-닥터초이 입니다.영상답변드립니다.감사합니다.  관련해서 더 궁금한 내용은  제 유튜브 채널 '여러분의 닥터초이'를  참고해주시면 좋겠습니다.
9,무슨 증상인지 좀 알려주세요!,이비인후과,귀를 건들이면 통증이 심하게오고 귀 안쪽이 붓어었요 반대 쪽 귀는 중이염때문에 약먹고있습니다,"​Loading...player_likesound_mutesound_mutesound_volume2sound_volume3[x]Player Size:0 x 0Current Resolution:0PMax Abr Resolution:0PProtocol:pdCurrent Bandwidth:Average Bandwidth:Buffer Health:Frame Drop Rate:0/0도움말라이센스Video StatisticVersion 4.19.10 (PD)Build Date (2020/6/3)NAVER Corp.동영상 인코딩 중입니다.5분 이상 소요될 수 있으며, 영상의 길이에 따라 소요 시간은 달라집니다.topleftrightbottom마우스를 드래그 하세요360° Video도움말MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다.선거광고 안내음소거00:00|00:00화질 선택 옵션화질전체화면광고정보 더보기초 후SKIP초 후 재생SKIP광고 후 계속됩니다.SNS 공유소스 코드BandTwitterFacebookBlogCafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다.도움말플레이어 URL복사레이어 닫기반갑습니다. 하이닥-네이버 지식iN 상담의사-이비인후과 전문의 최혁기-닥터초이 입니다.영상답변드립니다.감사합니다.  관련해서 더 궁금한 내용은  제 유튜브 채널 '여러분의 닥터초이'를  참고해주시면 좋겠습니다."
