,Title,Question,Answer
0,의자에 오래 앉으면 엉덩이가 아파요,딱딱한 의자에 오래 앉아있으면 사진에 동그라미 쳐있는데가 아파요 정확히 그 부분이요 엉덩이에 살도 많은데 아파요 왜 이러죠? 두 쪽 다 아파요1골반 삐뚤어진건가요?2뭐 때문에 이런거에요?,안녕하세요. 하이닥-네이버 지식iN 상담의 김재호 입니다.​그 부위의 근육 힘줄 혹은 뼈나 연골 등이미세손상 염증 등이 있는 경우도 있고요류마티스 전신질환이나 디스크 등 몇몇 원인 등이 있을 수 있습니다.이것만으로 골반이 비뚤어졌다 단언할 수는 없고요.​증상이 지속되면 정형외과 재활의학과 진료보시기 바랍니다.
1,턱보톡스 붓기,턱보턱스 맞고 음주 삼가라는 이유는 뭔가요 ? 제가 6일째 되는날에 과음을 했는데 소주 4병정도 그 뒤로 턱쪽이 살짝 부은거같아서요 오히려 턱보톡스 맞기전보다 넙데데해 진거같습니다 만약 붓기라면 시간 지나면 가라앉나요 아니면 내원 해야하나요 ?,"안녕하세요. 하이닥-네이버 지식iN 상담의 조홍규 입니다.​음주를 하면 어떤 수술이나 시술을 막론하고 염증 가능성이 증가될 수 있습니다. 알콜은 말초 혈관을 이완시키고 혈관투과성을 증가시켜 염증세포 등의 이동이 더 활발해지게 됩니다. 삼가하라고 하는 것은 다 이유가 있어서 하는 것이지요. 소주 4병이면 엄청나게 과음을 하신 거네요.​보톡스 시술 후 붓는 경우는 드문 현상이라, 염증이 의심된다면 시술한 병원에 문의하고 항생제 등을 처방받아 복용하시기 바랍니다.​답변이 도움이 되셨기 바랍니다."
2,심한 두통,"평소에 아픈적이 없었는데 갑자기 시야가 환해지면서 초점이 맞지 않고 눈알 뒤쪽이 아프기 시작했어요 피곤해서 그런가보다 하고 눈알을 꾹꾹 눌러주면서 마사지했는데도 괜찮아지지도 않았습니다 그리고 눈알뒤쪽이 아팠던게 머리 안쪽이 누가 계속 때리는듯이 아프고 멍이든 곳을 누가 누르는것처럼 너무 아파서 제대로 서있지도 못할정도였어요 숨이 가빠지고 구토도 했고요 그래서 응급실에 갔는데 열도 36.5도로 정상이고, CT찍고 혈액검사 결과 급성 뇌출혈도 아니고 백혈구, 적혈구 수도 정상이고 아무런이상이 없다고 나와서 진통제를 맞고 좀 쉬다 집에 왔어요아직도 정확한 원인을 모르겠는데 심각한건 아니겠죠??ㅠㅠㅠ","안녕하세요. 하이닥-네이버 지식iN 상담의 박종원 입니다.반복적이지는 않지만편두통의 두통 양상과 비슷합니다.두통은 생활의 질을 많이 떨어뜨리기는 하지만뇌의 기질적 이상에 의하지 않으므로심각하다고 표현하지 않습니다.질문자님의 두통은뒷목과 상부 흉추가 오랫동안 경직되면나타나는 현상으로치료는 뒷목의 두판상근과 1,2,3,4번 흉추의 심부근육을 확인하여근긴장이 확인되면머리와 안면, 눈, 귀의 미세혈류장애 호전을 위한 근육이완 치료를 하게 됩니다.보통은 주사치료를 포함해서 물리치료,도수치료 등을 흔하게 합니다."
3,지방흡입 염증,지금 염증이 나서 구멍이 크게 나있고 고름 뺄때까지 봉합은 미뤄뒀는데 거즈 붙이고 잇거든요ㅠㅠ압박복은 병원에선 고름이 안에서 퍼지는걸 막아주니까 입으라고 하던데 통풍이 중요하단말도 잇고ㅠㅠ압박복을 벗는게 염증고름에 좋을까요??입어야 할까요ㅜㅠ,안녕하세요. 하이닥-네이버 지식iN 상담의 조홍규 입니다.​염증이 심하지 않는 초기에는 대개 봉합부 주변에 국한되어 있는 경우가 많습니다. 상처부위 소독 등을 잘 해 주면 됩니다. 지방흡입 부위 전체에 걸쳐 지방이 빠져나간 빈 공간들이 있고 이곳에 체액이나 수술시 주입한 마취수액 등이 고이게 되므로 적절한 압에 의해 눌러주는 것이 회복면에서도 그렇고 염증이 확산되는 것을 줄일 수 있다고 봅니다.​수술 원장님의 의견을 따르는 것이 맞습니다.답변이 도움이 되셨기 바랍니다.
4,아킬레스건 재파열의심됩니다. 전날저녁 보조기없이 집안에서걷다가 동그란 물체를밟고나서 수술부위쪽이 찌릿함과 걸을때찌릿함을느낍니다..혹시 재파열인가,아킬레스건 재파열의심됩니다.전날저녁 보조기없이 집안에서걷다가 동그란 물체를밟고나서 수술부위쪽이 찌릿함과 걸을때찌릿함을느낍니다..혹시 재파열인가요?,"안녕하세요. 하이닥-네이버 지식iN 상담의 김재호 입니다.​수술을 받고 시간이 어느 정도 지났다면 단순히 물체를 밟는다고완전재파열이 되는 경우는 거의 없습니다.그러나 신체에 100%는 없고통증이 심하거나, 수술받은지 얼마안되었다면수술한 담당의 진료를 보시는 게 좋겠습니다."
5,복부지방흡입후,"복부 지방흡입 (앞판만 했음) 800cc정도이틀째 인데배 누루면 아프긴 한데 원래 멍이 보이지도 않고보란빛이나 이런것도 보이지 않고 그럴수 있나요?멍이 안들수도 있나요?아직 이틀째이지만 달라진게 없는거 같고 윗배만 더 나온느낌이에요허벅지 지방흡입할때는 멍도 들고 그랬는데아예 멍이 안들었어요,,","안녕하세요. 하이닥-네이버 지식iN 상담의 노상훈 입니다.시술 후 나타나는 효과, 증상, 회복기간 등은 개개인마다개인차이가 있을 수 있겠습니다.​회복기간 동안에는 일시적으로 이상증상이 나타나기도 하나나타나지 않는 분도 계시며 지켜보실 필요가 있겠습니다.개개인마다 차이가 있을 수 있습니다.​이상증상이 나타나거나 궁금하신 부분은 병원에 내원을하셔서 전문의와 상담을 통해서 확인을 해보시길 바랍니다.답변이 도움이 되었으면 합니다. 감사합니다."
6,두통이 심한데 열이 정상이에요,오늘 하루종일 아침부터 새벽까지 머리가 너무 아파요..누가 쥐어짜는것처럼 지끈거리고 머리가 숨쉬는 느낌이 들어요..근데 열도 약간씩 나는 것 같아서 코로나 증상인가 의심도 들어서 열체크 수시로 하는 중인데 36.5 36.7 36.4도로 정상으로 나와요.몸은 춥지도 않고 괜찮은데 자꾸 머리는 열이 나는 것 같이 느껴져요..기침 가래는 없는데 속이 메스껍고 울렁거려요.생리전이라 그런건지.. 혹시 코로나일까요?ㅠㅠ,안녕하세요. 하이닥-네이버 지식iN 상담의 박종원 입니다.체온계로 재봐서 열이 없다면 안심하셔도 됩니다.머리에만 열감이 있으시군요일단은 갖고 계신 진통소염제를 드셔보셔도 됩니다.가장 흔한 경우는긴장성 두통의 문제인데긴장성두통이란뒷목 근육의 경직에 의하여근육 밑을 주행하는 후두신경이 압박되어두통이 발생하고이 경우 뒷목의 근육을 풀어주는 치료를 하게 됩니다.​
7,"56세 남자입니다. 약 석달전부터 좌측엉덩이 주사맡는부위 와좌측허벅지와무릅위쪽으로 통증이심합니다.MRI,CT온갖검사를 다했음에도 병명을찾지못하고","56세 남자입니다.약 석달전부터 좌측엉덩이 주사맡는부위와좌측허벅지와무릅위쪽으로 통증이심합니다.MRI,CT온갖검사를 다했음에도병명을찾지못하고 있습니다.지난7월31일입원8월12일까지 시흥시에있는 쎈트럴병원에 입원치료도 받았쓰나차도없이 고통받고있습니다.제발치로좀.",안녕하세요. 하이닥-네이버 지식iN 상담의 박상일 입니다.아마도 검사를 하셨다면 고관절쪽 검사를 하셨을것으로 보입니다.지금 말씀하신 부위에 통증을 유발하는 가장 흔한 원인은 요추 추간판 문제 즉 허리디스크 입니다.이것에 대해 자세히 써 놓은 글이 있으니 참고하시기 바랍니다.치료는 허리에 하셔야 합니다.https://blog.naver.com/kirinpain/221807105296허리때문에 엉덩이는 왜 아플까?허리문제가 있는 분들이 엉덩이 옆쪽에 불편감을 호소하시는 경우가 많습니다.고관절이 문제가 있다고 생각...blog.naver.com​
8,볼쪽이 비대칭이라 병원을 가려고하는데 어디로 가야하나요 ?,언재부터인지는 모르겠습니다.볼 살 양쪽이 똑같지 않고 한쪽은 빵빵하고 한쪽은 푹 파인 ? 것처럼비대칭이라 병원에 한번 가봐야 될것같아 질문드립니다.어떤병원으로 가야 진단 받을수 있을까요 ??,안녕하세요. 하이닥-네이버 지식iN 상담의 신인수 입니다.비대칭은 누구나 조금씩은 있을 수 있으나 심한 경우에는시술이나 수술을 고려하시기도 합니다.​먼저 성형외과 등 병원에 내원을 하셔서 전문의와 충분하게상담을 해보시길 권해드립니다. 답변이 도움이 되었으면 합니다.감사합니다.
9,가벼운 화상 후 멍울같은 게 만져져요,뜨거운 냄비 손잡이에 손을 데어서 아주 가벼운 화상을 입었는데물집이 생기거나 하진 않았어요. 하루정도 피부 느낌이 다른 정도?그런데 며칠 지나고 그 위치에 약간 볼록한게 만져지네요.아프거나 하진 않구요. 곧 사라지는 걸까요? 병원에 가야 할까요?,안녕하세요. 하이닥-네이버 지식iN 상담의 김성우입니다.손바닥은 표피가 두터워서 물집이 생기면 물집처럼 보이지 않고 불룩하게 튀어 오른 것처럼 보입니다.아프지도 않습니다.사진이 있다면 정확히 말씀드릴 수 있을 텐데요.아마도 그것 같은데요 화상병원에 가셔서 물집 제거 후 치료해야 합니다.
