,Title,Question,Answer
0,감음성 난청,제가 감음성 난청으로 장애4급받은적있는데요.보청기 3번이나 사서 껴봐도 말소리를 구분못하고 안 들리는거에요 ㅜㅜ소리만 들리고요.어쩌면 좋나요?그리고 청력검사는 어디 병원에서 하나요? 인천 거주자입니다.,"안녕하세요. 하이닥-네이버 지식iN 상담의 유신영 입니다.청각 장애 4급이면 청각 역치가 70dB 정도로 정상인의 20dB 에 비해 매우 낮은 수치입니다.당연히 분별력도 떨어져서 소리가 들려도 무슨 소리인지 구별하기가 어렵습니다. ㅠㅠ보청기는 소리를 증폭하는 기능이 있으니 착용을 하지 않으신 것 보다는 나은 점이 있겠지만보청기가  소리 분별력자체를 올리는 기능은 가지고 있지를 않으니 보청기로는 한계점이 있을 수 밖에 없습니다.어음 분별력은 100%가 정상이며 저희들은 50% 를 기준으로 하여 환자분께서 가지고 있는 달팽이관을보완하여 청력을 올릴 것인지, 아니면, 즉 분별력이 50% 이하라면 달팽이관을 인공으로 교체하는 방법을제안드리고 있습니다.귀 전문의와 상의하시고 보청기를 착용한 상태에서의 어음분별력을 측정하시어 50% 기준에 맞추어 치료 방침을 정해보실 것을 권유드립니다.난청은 극복할 수 있습니다. 감사합니다."
1,제가 세모입이라 아랫입술만 보면 안쳐져보이는데 윗입술이랑 보면 윗입술의 중간의 부피가 너무커서(중간만)입술이 쳐져보이는데 세모입 없앨 방법이 있을까요...,NA,안녕하세요. 하이닥-네이버 지식iN 상담의 조홍규 입니다.​어떤 문제로 윗입술의 중간부분이 두터워지는 지를 정확히 살펴보아야 합니다.경험이 풍부한 성형외과 전문의와 직접 본인의 입술과 주변 조직들의 양상을 살펴본다음 충분한 상담을 통해 알아보시기 바랍니다.​입술 연조직 자체가 두터운 것인지 아니면 치아의 돌출 등으로 인한 문제인지 등과 입술 중앙과 주변부의 밸런스 등도 살펴보아야 합니다.​답변이 도움이 되셨기 바랍니다.
2,발성장애 고민,"발성장애 때문에 고민중이어서 글을 쓰게 되었습니다.말을 할때마다 목이 조여오는 것 같고, 실제로 제가 내는 목소리가 굉장히 힘겹게 이야기하는 것처럼 들리고 때때로 심하게 떨리기도 합니다. 심한 날에는 1음절의 단어조차 발성하는 게 힘듭니다. 또, 조금이라도 길게 이야기를 하면 금방 숨이 모자라서 부자연스러운 부분에서 말을 끊었다 이야기하게 됩니다.간혹 발성이 잘 되는 날을 가만히 살펴보면, 감기약을 먹을 때 그런 것 같습니다. 평소에 코가 매우 건조하고 막힙니다. 또, 마치 코와 목 사이 통로가 무언가 끼어있는 느낌이 들 때도 있습니다.유난히 말을 하기 어려운 날은 주로 에어컨에 많이 노출이 되거나 스트레스를 많이 받는 때인 것 같습니다.코로나 확산 전에 대학 병원에 갔을 때는 역류성 후두염이라 진단받았지만, 처음에는 약을 먹고 조금 나아지는 것도 같았지만 며칠 지나자 큰 차이는 없었습니다.. 처방약은 위장약 및 긴장을 완화시켜주는 정신과 약도 함께 처방받았습니다.얼마 전에 가까이 있는 작은 규모의 병원에 갔을 때는 목이 부었다는 진단을 받고 감기약을 처방받았습니다.정확한 진단을 받고 싶은데 코로나 때문에 움직이기를 잠시 삼가하고 있습니다.. 의심되는 질병 혹은 장애와 임시방편으로 취할 수 있는 조치를 알려주시면 정말로 감사할 것 같습니다.","안녕하세요. 하이닥-네이버 지식iN 상담의 안철민 입니다.말할 때 목소리가 떨리고 말하는 것이 힘든 경우는 성대의 경련성발성장애, 연축 등의 질환이 있거나 말막힘 이 오는 유창성장애 등에서 나타나게 됩니다먼저 성대검사와 성대운동검사 등이 필요하고, 목소리와 말하는 기능에 대한 발성검사 등이 필요합니다혼자 연습해서 개선이 되기는 어려복, 검사와 치료를 받아 보시기를 권해 드립니다당장 혼자서 할 수 있는 것은 한숨을 쉬는 것 처럼 목소리를 시작하면서 길게 소리를 내는 연습을 해 보시고, 그런 느낌으로 말을 하려는 노력을 해 보시는 것도 한가지 방법이 될 수 있습니다"
3,"이명,청력검사, 두통,불면증","증상약 45일 전부터 갑자기 귀먹먹함,이명발생이비인후과 청력검사 3곳에서 검진 했으아 2두곳에서는 정상청력 한곳에서는 정상청력이지만 특정 하나의 구간이 2구간에 가깝다며 혈액순환제 먹어보라함.이후 극심한 두통으로(혈액순환제 때문인지 알 수 없음) 신경과에서 ct,mri 아무이상 없음.현재 이명은 소리가 많이 줄어든 양상을 보임. 그러나 만성피로와 반복적인 목부음과 이통(고막은 아니고 그냥 귀구멍 피부부분?)이 나타남.질문1. 정상청력으로 나왔는데 한달 뒤 검사에서 청력이 떨어질 수 있나요??2. 돌발성 난청은 초기에 가면 바로 드러나나요?( 거의 한달간에 걸쳐서 3곳(서로 다른 병원)에서 청력검사를 했는게 마지막 병원에서 약간 떨어지게 나왔습니다.)",안녕하세요. 대한의사협회·네이버 지식iN 상담의사 김재영 입니다.​귀먹먹함과 이명이 생겨서 불편하고 걱정이 되겠어요.현재 증상으로는 급성저음성난청의 가능성이 있습니다.급성저음성난청은 저음역에 국한된 돌발성난청으로 청력검사를 시행하여 확인이 필요한 질환으로 재발을 잘 하는 특성이 있습니다.따라서 검사 시기에 따라서 결과가 다르게 나올 수 있으며 검사 결과가 정상이더라도 증상이 있고 의심이 되면 재 확인 검사가 필요합니다.​귀를 중점으로 진료하는 이비인후과를 방문하셔서 정확한 진단을 받으신 후 치료를 받으시길 바랍니다.급성저음성난청은 치료될 수 있으니 걱정하지 마세요.답변이 도움이 되었으면 합니다.
4,돌발성 난청일까요?,저번주에 과호흡 비슷하게 와서 응급실 다녀온 적 있는데 오늘은 왼쪽 귀가 갑자기 먹먹해지더니 어지럽고 식은땀이 나더라고요 물 마시니까 몇분 후에 괜찮아졌는데 이게 혹시 돌발성 난청인가 싶어서요... 귀는 이번 한번 이랬는데 한번으로 병원을 가나 싶기도 해서 여쭤봅니다... 돌발성 난청 증상인가요?,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 김재영 입니다.​귀가 먹먹해져서 불편하고 걱정이 되겠어요.귀가 먹먹한 것은 여러 가지 원인으로 생길 수 있으나 우선 이관기능장애와 돌발성난청을 의심하여 감별 진단이 필요하나 현재 증상으로는 이관기능장애의 가능성이 높습니다.이관의 문제는 개방증과 폐색증 모두 같은 증상을 유발할 수 있으며 심하면 말이 울려서 들리고 과로나 스트레스가 더 악화시킬 수 있습니다.그리고 현재 증상으로는 부교감신경이 예민해져서 나타날 수도 있습니다.​근본적인 원인을 찾아서 치료하면 재발을 방지하고 효과적으로 치료할 수 있으니 귀를 중점으로 진료하는 이비인후과를 방문하셔서 정확한 진단을 받으신 후 치료를 받으시길 바랍니다.어떤경우든 치료될 수 있으니 걱정하지 마세요.답변이 도움이 되었으면 합니다.
5,청각과민증인가요?,제가 최근 일주일정도 이명같은 것이 들려 질문드립니다현재 저는 독서실에서 수험공부를 하고 있는데 독서실에는 항상 백색소음이 들려옵니다. 그런데 제가 느끼는 이명이 이 백색소음을 들으면 나는듯 합니다(유튜브에서 백색소음을 들으니 똑같은 소리가 들렸습니다)제가 조금 찾아보니 특정주파수에 예민한 청각과민증이란 병이 있던데 제가 이병에 해당하는건가요? 이병을 치료하기 위해선 어떻게 해야하나요?현재 독서실백색소음을 차단하고자 이어플러그를 착요하여 공부중입니다 괜찮을까요?조용한 상황에서 이명같은건 안 들립니다.,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 김재영 입니다.​귀에서 소리가 들려서 불편하고 답답하겠어요.현재 증상으로는 청각과민증이 의심됩니다.청각과민증은 일종의 이명이며 이명은 소음, 약물, 외상, 노화, 돌발성난청, 메니에르병, 청신경종양 등에 의해서 발생하기도 하지만, 특별한 원인이 없이도 과로, 스트레스 등에 의해서도 옵니다.영양을 잘 섭취하고 충분히 휴식을 취하는 것도 이명 치료에 도움이 될 수 있으며 근본적인 원인을 찾아서 치료하면 재발을 방지하고 효과적으로 치료할 수 있습니다.소음이 있는 환경에서는 귀마개를 사용하면 편해지고 치료에 도움이 됩니다.귀를 중점으로 진료하는 이비인후과를 방문하셔서 정확한 진단을 받으신 후 치료를 받으시길 바랍니다.청각과민증과 이명은 치료될 수 있으며 빨리 치료할수록 빨리 치료됩니다.답변이 도움이 되었으면 합니다."
6,한쪽 귀 먹먹한데 돌발성난청인가요?..,고1인데요 자고 일어나니까 한쪽 귀가 먹먹해요 괜찮을 줄 알고 하루 지켜봤는데 귀에서 냉장고 소리 같이 진동(?)이 귀에서 자꾸 들리는거 같고 계속 먹먹해요자고 일어났는데 조금 괜찮긴한데 아직도 먹먹해요...병원가야하나요...??ㅠㅠㅠㅠㅠ,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 김재영 입니다.​귀가 먹먹해져서 불편하겠어요.귀가 먹먹한 것은 여러 가지 원인으로 생길 수 있으나 우선 이관기능장애와 돌발성난청을 의심하여 감별 진단이 필요하나 현재 증상으로는 돌발성난청의 가능성이 높습니다.​현재 증상으로는 급성저음성난청의 가능성이 있습니다.급성저음성난청은 저음역에 국한된 돌발성난청으로 청력검사를 시행하여 확인이 필요한 질환으로 재발을 잘 하는 특성이 있습니다.돌발성난청의 치료는 충분한 휴식과 수면, 영양섭취와 스트레스 해소가 중요하며 치료를 조기에 할 수록 예후가 좋습니다.​근본적인 원인을 찾아서 치료하면 재발을 방지하고 효과적으로 치료할 수 있으니 귀를 중점으로 진료하는 이비인후과를 방문하셔서 정확한 진단을 받으신 후 치료를 받으시길 바랍니다.어떤경우든 치료될 수 있으니 걱정하지 마세요.답변이 도움이 되었으면 합니다."
7,돌발성 난청 치료 후 난청이 자꾸 재발합니다,"안녕하세요 저는 20대 중반이고 중학교 3학년 때 오른쪽 귀 돌발성 난청 진단을 받았습니다. 그 당시에 한 달 정도 병원에 다니며 치료를 받았고 치료 후 몇년 동안은 아무런 증상 없이 지내왔습니다. 그러다가 작년(2019년) 여름에 오른쪽 귀가 중이염과 외이도염에 걸린 적이 있고 그것 외에는 귀에 이상은 없었습니다.그런데 올해 초(2020년 1월쯤)부터 잠을 잘 못자거나 피곤하면 오른쪽 귀가 먹먹해지고 어쩔 때는 조금 욱신거리기도 합니다. 이러한 증상은 하루 정도 지속되며 잠을 자고 일어나면 또 멀쩡해집니다. 이비인후과를 2곳 가봤지만 청력 검사 후 난청이 온 것이다, 약을 처방해주겠다고 하시고 딱히 다른 말씀은 없었습니다ㅠㅠ 피곤할 때마다 오른쪽 귀가 잘 안 들리니 너무 불편하고 무섭기도 합니다.혹시 돌발성 난청은 피곤하면 계속 재발하는 것인가요? 아니면 그냥 돌발성 난청으로 인해 오른쪽 귀가 약해지고 예민해져서 다른 종류의 난청이 오는 것인가요? 병원을 가서 꾸준한 치료가 필요한 것인가요? 알려주세요ㅠㅠ","안녕하세요. 대한의사협회·네이버 지식iN 상담의사 김재영 입니다.​귀가 먹먹해져서 불편하고 걱정이 되겠어요.귀가 먹먹한 것은 여러 가지 원인으로 생길 수 있으나 우선 이관기능장애와 돌발성난청을 의심하여 감별 진단이 필요합니다.이관의 문제는 심하면 말이 울려서 들리고 과로나 스트레스가 더 악화시킬 수 있습니다.​현재 증상으로는 급성저음성난청의 가능성이 있습니다.급성저음성난청은 저음역에 국한된 돌발성난청으로 청력검사를 시행하여 확인이 필요한 질환으로 재발을 잘 하는 특성이 있습니다.​돌발성난청의 치료는 충분한 휴식과 수면, 영양섭취와 스트레스 해소가 중요하며 치료를 조기에 할 수록 예후가 좋습니다.근본적인 원인을 찾아서 치료하면 재발을 방지하고 효과적으로 치료할 수 있으니 귀를 중점으로 진료하는 이비인후과를 방문하셔서 정확한 진단을 받으신 후 치료를 받으시길 바랍니다.어떤 경우든 치료될 수 있으니 걱정하지 마세요.답변이 도움이 되었으면 합니다"
8,편도결석 질문이요,편도결석을 제거하면 얼마나 자주 다시 생기나요?사람마다 차이가 있겠지만 대략적으로 말씀해주시면 감사하겠습니다,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 이비인후과 전문의 문인희 입니다.​편도결석이 생기는 빈도는 사람마다 매우 차이가 커서 일률적으로 답변드리기 어렵습니다.​전체 인구중의 편도결석의 빈도에 대한 조사는 알려진 바가 없으나,편도수술한 환자들의 편도조직검사를 한 결과1000명중80명(8%)에서 편도결석이 발견되었다는 보고가 있습니다.이 조사결과를 역으로 해석한다면92%에서는 편도결석이 발견되지 않았다는 의미 입니다.​2015년 이비인후과 학회지에 발표된 자료에 따르면,편도결석 수술받은 환자의 통계에서,거의 매일 편도결석이 나온다고 답변한 경우가3.7%,주1회 이상32.9%,월1회 이상35.4%,수개월 마다 나온다는 경우는32.9%,불규칙적이라고 답한 경우는2.4%였습니다.​​편도결석을 손톱이나 면봉,뾰족한 기구 등으로 편도를 후벼 파는 것은 점막손상을 일으킬 수도 있고 불결하기 때문에 권유되지 않습니다.임시로라도 제거하려면 가까운 이비인후과에 가셔서 흡입기,이어루프,포셉 등으로 제거하실 수 있습니다.​그러나 편도결석의 근본적인 치료를 원하신다면,근본적인 해결방법은 수술밖에 없습니다.편도결석을 생길 때 마다 빼 낸다 하더라도 편도홈의 구조가 바뀌지 않는 한,편도결석은 계속 생기게 되며,그런 구조를 그대로 둔 상태에서 편도결석을 예방하는 방법이나 안생기게 하는 방법은 없습니다.​편도결석이 일반 편도염처럼 약물치료가 잘 안되는 이유는,편도결석의 주요세균은 혐기성 세균이며,균막(biofilm)과 유사한 성상을 하고 있기 때문입니다.균막이란 단순한 세균덩어리가 아니라,마치 에스키모의 얼음집인 이글루처럼,세균들 덩어리를 견고한 외벽이 감싸고 보호하는 구조이기 때문에,양치질,가글,음식이나 한약은 물론이고 항생제로도 치료가 어렵습니다.이비인후과에서 임시방편으로 흡입기로 제거할 수는 있고,편도결석이 있어도 심각한 문제는 아니지만,근본적인 치료를 위해서는 수술이 필요합니다.​편도결석 수술은 편도결석이 생기는 홈부위를 레이저나 고주파 기기를 이용하여 편도 홈 깊이만큼 제거하는‘편도부분절제술’과,편도를 모두 제거하는‘편도완전적출술’이 있습니다.​편도의 면역기능은4-5세경의 소아기 까지는 중요한 역할을 하지만,그 이후에는 다른 면역기관이 활성화되므로,편도가 없어도 면역체계에 전혀 문제가 되지 않습니다.​편도결석을 수술해야 할 것인지는 본인이 얼마나 불편한지에 따라 결정하시면 됩니다.​편도결석이 있어도 심각한 문제는 아니지만,그런 불쾌하고 불편한 증상을 근본적으로 없애고 싶으시다면 수술로 완치할 수 있습니다.​불편감이 있으면 이비인후과 전문의의 진찰을 받아보시기 바랍니다."
9,편도수술 후 곱? (급해요),편도수술 5일차인데요후기들 보니까 곱이라 하던데 곱이 목 안에 노란 걸 말하는 건가요?그게 곱이라면 그게 빨리 떨어지는 방법 없나요?요즘 아파서 별로 못 먹긴 했는데 너무 안 없어지는 것 같아서요ㅜㅜ,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 이비인후과 전문의 문인희 입니다.​편도수술후에 노란 곱은 원래  수술 후 1주가 지나면서 차츰 새 점막으로 대체되기 시작하여 수술후 2주 정도가 되면 거의 대부분 없어지게 되는데, 새 점막이 생기기 전에 편도 수술부위의 곱을 뜯게 되면 출혈이 생길 위험이 높아지게 되므로 절대로 빨리 없애기 위해서 뜯으면 안됩니다.​자연적으로 떨어질 때까지 편도수술 부위의 곱을 그대로 두시기 바랍니다.​더 궁금한 점이 있거나 불편감이 있으면 수술받으신 병원의 담당 선생님이나 가까운 이비인후과에 가서 진찰받고 상담하시기 바랍니다.​"
